model name,query index,answer,crash,colored reduce time,unfold time,reduce time,verification time,verification memory,solved by query simplification,state space size,original place count,original transition count,colored reduce place count,colored reduce transition count,unfolded place count,unfolded transition count,reduced place count,reduced transition count,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule O,rule P,rule Q,rule R,rule S,rule 0,rule 1,rule 2,rule 3,rule 4,rule 5
AirplaneLD-COL-0050,8,FALSE,NONE,0.000196,0.000163,4.6e-05,0.0,4768,TRUE,1,20,15,6,5,8,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
AirplaneLD-COL-0050,9,TRUE,NONE,0.000162,0.00019,4.1e-05,0.0,4784,TRUE,1,20,15,9,9,13,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
AirplaneLD-COL-0050,10,FALSE,NONE,8.2e-05,8.2e-05,3.2e-05,0.0,4764,TRUE,1,20,15,3,3,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
AirplaneLD-COL-0050,11,FALSE,NONE,0.000288,0.000414,0.000246,0.002462,6696,FALSE,5,20,15,15,12,23,24,8,4,0,3,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,3
AirplaneLD-COL-0050,12,FALSE,NONE,0.00011,8.9e-05,3.4e-05,0.0,4452,TRUE,1,20,15,3,3,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
AirplaneLD-COL-0050,13,TRUE,NONE,0.000163,0.000226,4.5e-05,0.0,4784,TRUE,1,20,15,12,10,16,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
AirplaneLD-COL-0050,14,FALSE,NONE,0.000262,0.000285,0.000256,0.002335,6696,FALSE,7,20,15,16,15,24,27,8,6,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,3
AirplaneLD-COL-0050,15,TRUE,NONE,0.000245,0.0003,0.000212,0.002602,6696,FALSE,87,20,15,17,15,25,27,16,18,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,2
AirplaneLD-COL-0050,16,TRUE,NONE,9.1e-05,8.9e-05,4.2e-05,0.0,4452,TRUE,1,20,15,2,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AirplaneLD-COL-0100,1,FALSE,NONE,0.000311,0.000203,4.2e-05,0.0,4832,TRUE,1,20,15,12,9,18,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
AirplaneLD-COL-0100,2,TRUE,NONE,7.5e-05,0.000104,3.5e-05,0.0,4516,TRUE,1,20,15,5,3,5,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AirplaneLD-COL-0100,3,TRUE,NONE,0.000242,0.000132,0.000105,0.002464,6696,FALSE,6,20,15,7,6,9,8,5,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2
AirplaneLD-COL-0100,4,TRUE,NONE,0.000331,0.000265,5e-05,0.0,4836,TRUE,1,20,15,12,11,18,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
AirplaneLD-COL-0100,5,FALSE,NONE,0.000359,0.00026,5.9e-05,0.0,4832,TRUE,1,20,15,9,7,13,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
AirplaneLD-COL-0100,6,FALSE,NONE,0.000172,0.000356,0.000177,0.002519,6696,FALSE,16,20,15,15,13,21,24,7,6,0,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1
AirplaneLD-COL-0100,7,FALSE,NONE,8.5e-05,7.5e-05,3.5e-05,0.0,4516,TRUE,1,20,15,4,3,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
AirplaneLD-COL-0100,8,FALSE,NONE,0.000277,0.000155,4.4e-05,0.0,4832,TRUE,1,20,15,9,7,11,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
AirplaneLD-COL-0100,9,TRUE,NONE,0.000499,0.000433,7e-05,0.0,4832,TRUE,1,20,15,16,15,24,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
AirplaneLD-COL-0100,10,FALSE,NONE,0.0001,9.2e-05,3e-05,0.0,4832,TRUE,1,20,15,5,4,6,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
AirplaneLD-COL-0100,11,TRUE,NONE,0.000305,0.000242,0.000186,0.002279,6696,FALSE,3,20,15,12,9,18,18,6,2,0,3,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,3
AirplaneLD-COL-0100,12,FALSE,NONE,0.000245,0.000251,4.9e-05,0.0,4824,TRUE,1,20,15,13,10,17,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
AirplaneLD-COL-0100,13,FALSE,NONE,0.000133,0.000127,4e-05,0.0,4828,TRUE,1,20,15,6,5,8,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
AirplaneLD-COL-0100,14,FALSE,NONE,0.00027,0.000255,5.1e-05,0.0,4524,TRUE,1,20,15,16,12,24,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
AirplaneLD-COL-0100,15,TRUE,NONE,0.000279,0.000312,4.9e-05,0.0,4832,TRUE,1,20,15,17,15,25,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
AirplaneLD-COL-0100,16,TRUE,NONE,0.000394,0.000332,4.3e-05,0.0,4836,TRUE,1,20,15,16,15,24,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
AirplaneLD-COL-0200,1,FALSE,NONE,0.000526,0.00041,6.6e-05,0.0,4564,TRUE,1,20,15,17,15,25,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
AirplaneLD-COL-0200,2,TRUE,NONE,0.000101,0.000314,5.2e-05,0.0,4876,TRUE,1,20,15,18,13,26,25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AirplaneLD-COL-0200,3,TRUE,NONE,0.000581,0.000252,0.00025,0.002053,6880,FALSE,3,20,15,15,11,23,23,7,2,0,6,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,3
AirplaneLD-COL-0200,4,TRUE,NONE,0.000676,0.000295,5.2e-05,0.0,4556,TRUE,1,20,15,15,11,23,23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
AirplaneLD-COL-0200,5,TRUE,NONE,0.000819,0.000375,0.000125,0.00218,6880,FALSE,10,20,15,16,13,24,25,6,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2
AirplaneLD-COL-0200,6,FALSE,NONE,0.000606,0.000279,0.000233,0.002057,6880,FALSE,3,20,15,15,11,23,23,7,2,0,6,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,3
AirplaneLD-COL-0200,7,FALSE,NONE,0.000127,0.000125,3.2e-05,0.0,4876,TRUE,1,20,15,6,5,7,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
AirplaneLD-COL-0200,8,FALSE,NONE,0.000396,0.000196,3.6e-05,0.0,4872,TRUE,1,20,15,9,7,13,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
AirplaneLD-COL-0200,9,TRUE,NONE,0.000588,0.00026,0.000235,0.002228,6880,FALSE,9,20,15,15,11,23,23,10,7,0,6,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,3
AirplaneLD-COL-0200,10,FALSE,NONE,7.5e-05,8.4e-05,3.1e-05,0.0,4564,TRUE,1,20,15,3,2,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AirplaneLD-COL-0200,11,FALSE,NONE,0.000823,0.00039,7.1e-05,0.0,4876,TRUE,1,20,15,15,13,23,25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
AirplaneLD-COL-0200,12,TRUE,NONE,9.9e-05,8.2e-05,6.8e-05,0.0,4560,TRUE,1,20,15,4,3,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
